epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,406.123,2.46787,5.94628,2.02408,0.58144,0.02557,0.04361,0.01983,1.86468,4.23831,1.64765,3.955e-05,3.955e-05,3.955e-05
2,783.799,1.93625,4.21529,1.56653,0.60098,0.05515,0.07362,0.03821,1.70066,3.55754,1.42977,5.30752e-05,5.30752e-05,5.30752e-05
3,1088.15,1.79296,3.73472,1.44561,0.71004,0.09093,0.11304,0.06818,1.59961,3.27601,1.3697,4.04203e-05,4.04203e-05,4.04203e-05
